縣市別,性別,教育程度,人口數
南投縣,女,大學及專科,58111
南投縣,女,碩士以上,7198
南投縣,女,高中及以下,96912
南投縣,男,大學及專科,56285
南投縣,男,碩士以上,10089
南投縣,男,高中及以下,114299
嘉義市,女,大學及專科,43198
嘉義市,女,碩士以上,7311
嘉義市,女,高中及以下,46620
嘉義市,男,大學及專科,38446
嘉義市,男,碩士以上,8852
嘉義市,男,高中及以下,46261
嘉義縣,女,大學及專科,54146
嘉義縣,女,碩士以上,6002
嘉義縣,女,高中及以下,93134
嘉義縣,男,大學及專科,54754
嘉義縣,男,碩士以上,8859
嘉義縣,男,高中及以下,121936
基隆市,女,大學及專科,52568
基隆市,女,碩士以上,6151
基隆市,女,高中及以下,71988
基隆市,男,大學及專科,49860
基隆市,男,碩士以上,9151
基隆市,男,高中及以下,78716
宜蘭縣,女,大學及專科,60794
宜蘭縣,女,碩士以上,7583
宜蘭縣,女,高中及以下,88785
宜蘭縣,男,大學及專科,56713
宜蘭縣,男,碩士以上,11345
宜蘭縣,男,高中及以下,100657
屏東縣,女,大學及專科,98596
屏東縣,女,碩士以上,11243
屏東縣,女,高中及以下,161622
屏東縣,男,大學及專科,92010
屏東縣,男,碩士以上,15369
屏東縣,男,高中及以下,193306
彰化縣,女,大學及專科,166224
彰化縣,女,碩士以上,19011
彰化縣,女,高中及以下,231447
彰化縣,男,大學及專科,156985
彰化縣,男,碩士以上,28582
彰化縣,男,高中及以下,277782
新北市,女,大學及專科,666938
新北市,女,碩士以上,92831
新北市,女,高中及以下,772380
新北市,男,大學及專科,580366
新北市,男,碩士以上,139418
新北市,男,高中及以下,773716
新竹市,女,大學及專科,75358
新竹市,女,碩士以上,18171
新竹市,女,高中及以下,71289
新竹市,男,大學及專科,61839
新竹市,男,碩士以上,33358
新竹市,男,高中及以下,70274
新竹縣,女,大學及專科,90302
新竹縣,女,碩士以上,17281
新竹縣,女,高中及以下,99200
新竹縣,男,大學及專科,82737
新竹縣,男,碩士以上,34127
新竹縣,男,高中及以下,106353
桃園市,女,大學及專科,361502
桃園市,女,碩士以上,48786
桃園市,女,高中及以下,440668
桃園市,男,大學及專科,330903
桃園市,男,碩士以上,78416
桃園市,男,高中及以下,449543
澎湖縣,女,大學及專科,13462
澎湖縣,女,碩士以上,1906
澎湖縣,女,高中及以下,21051
澎湖縣,男,大學及專科,13788
澎湖縣,男,碩士以上,2658
澎湖縣,男,高中及以下,25156
臺中市,女,大學及專科,471707
臺中市,女,碩士以上,68231
臺中市,女,高中及以下,523070
臺中市,男,大學及專科,402996
臺中市,男,碩士以上,97330
臺中市,男,高中及以下,544731
臺北市,女,大學及專科,495025
臺北市,女,碩士以上,114520
臺北市,女,高中及以下,320939
臺北市,男,大學及專科,396930
臺北市,男,碩士以上,149159
臺北市,男,高中及以下,302111
臺南市,女,大學及專科,280073
臺南市,女,碩士以上,42233
臺南市,女,高中及以下,330583
臺南市,男,大學及專科,261463
臺南市,男,碩士以上,66244
臺南市,男,高中及以下,358595
臺東縣,女,大學及專科,23100
臺東縣,女,碩士以上,3001
臺東縣,女,高中及以下,42225
臺東縣,男,大學及專科,19879
臺東縣,男,碩士以上,3474
臺東縣,男,高中及以下,53836
花蓮縣,女,大學及專科,40446
花蓮縣,女,碩士以上,5683
花蓮縣,女,高中及以下,63499
花蓮縣,男,大學及專科,36583
花蓮縣,男,碩士以上,6482
花蓮縣,男,高中及以下,74514
苗栗縣,女,大學及專科,68890
苗栗縣,女,碩士以上,8647
苗栗縣,女,高中及以下,105566
苗栗縣,男,大學及專科,70551
苗栗縣,男,碩士以上,14426
苗栗縣,男,高中及以下,122854
連江縣,女,大學及專科,1951
連江縣,女,碩士以上,312
連江縣,女,高中及以下,2033
連江縣,男,大學及專科,2582
連江縣,男,碩士以上,517
連江縣,男,高中及以下,3333
金門縣,女,大學及專科,23785
金門縣,女,碩士以上,3420
金門縣,女,高中及以下,27937
金門縣,男,大學及專科,23663
金門縣,男,碩士以上,5499
金門縣,男,高中及以下,28065
雲林縣,女,大學及專科,76291
雲林縣,女,碩士以上,9209
雲林縣,女,高中及以下,122219
雲林縣,男,大學及專科,75043
雲林縣,男,碩士以上,13214
雲林縣,男,高中及以下,159291
高雄市,女,大學及專科,422127
高雄市,女,碩士以上,62755
高雄市,女,高中及以下,510334
高雄市,男,大學及專科,388469
高雄市,男,碩士以上,90847
高雄市,男,高中及以下,529049
